Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$4,074,436,593","1,758,089","16,425,913","2,421,759"
CryptoPunks,"$2,265,241,216","5,681","21,287","3,711"
Bored Ape Yacht Club,"$2,221,448,934","11,449","29,835",
Mutant Ape Yacht Club,"$1,566,494,617","21,581","40,202",
Art Blocks,"$1,265,723,876","30,142","161,629","34,392"
NBA Top Shot,"$1,010,518,586","441,331","20,508,086","694,627"
Otherdeed,"$968,991,487","21,712","45,804",
Azuki,"$772,360,652","14,027","30,823",
CloneX,"$695,022,314","9,861","18,885",
Moonbirds,"$552,360,321","12,455","17,285",
VeeFriends,"$550,914,761","6,339","14,292",
Meebits,"$505,495,187","11,687","32,390",
Doodles,"$497,885,229","12,486","25,269",
The Sandbox,"$371,134,354","25,051","55,929","19,033"
Cool Cats,"$362,225,293","11,907","30,665",
Sorare,"$337,764,890","96,890","2,525,772","130,308"
Bored Ape Kennel Club,"$335,415,831","10,001","22,930",
Loot,"$279,461,948","4,153","11,622",
World Of Women,"$244,063,848","10,524","26,438",
Cryptoadz,"$243,682,200","9,788","21,947",
Crabada,"$226,918,588","10,179","203,615",
Parallel Alpha,"$220,182,514","22,520","106,384",
Beanz,"$219,989,745","9,321","19,833",
CyberKongz,"$201,316,572","4,037","6,867",
Bored Ape Chemistry Club,"$200,130,494","2,213","3,870",
Farmers World,"$196,422,904","74,357","5,196,576","267,553"
Solana Monkey Business,"$189,034,539","4,361","10,465","6,607"
MekaVerse,"$175,353,870","6,762","13,926","4,739"
Pudgy Penguins,"$173,712,240","12,845","33,251","4,430"
PUNKS Comic,"$172,497,733","4,660","11,836","3,574"
0N1 Force,"$159,893,602","9,419","20,556","4,305"
HAPE PRIME,"$158,280,799","6,524","11,869",
NFT Worlds,"$155,391,727","8,555","19,844",
RTFKT MNLTH,"$150,252,501","5,028","8,168",1
adidas Originals,"$141,597,452","25,891","39,387",1
Zed Run,"$140,621,319","63,109","255,556","57,432"
Degenerate Ape Academy,"$138,707,559","7,756","20,791","5,227"
MurakamiFlowers Seed,"$135,812,575","4,545","7,257",1
RTFKT CloneX Mintvial,"$133,425,862","2,744","5,880",1
Karafuru,"$132,609,511","10,186","15,937",
projectPXN,"$124,447,041","12,806","21,111",
mfer,"$120,031,996","12,779","27,305",
Invisible Friends,"$119,987,015","8,042","10,444",
Creature World NFT,"$118,966,289","12,431","25,766","6,228"
FLUF World,"$118,439,592","7,187","20,853",
Curio Cards,"$118,168,259","7,634","23,843",1
Okay Bears,"$116,982,841","8,196","17,731","6,480"
Emblem Vault,"$111,040,314","5,052","18,789","5,619"
PhantaBear,"$106,482,967","8,665","17,559","5,143"
Cool Pets,"$106,168,719","17,011","27,802",
KaijuKingz,"$103,883,976","7,406","11,838",
Prime Ape Planet,"$103,627,956","8,786","16,630",
CyberBrokers,"$103,324,267","7,450","17,081",
Book Games,"$103,321,302","11,609","94,301","18,454"
LOSTPOETS,"$101,268,672","8,697","26,043","5,774"
World Of Women Galaxy,"$97,691,180","12,397","20,962",
The Doge Pound,"$96,946,832","8,401","16,677","5,448"
Lazy Lions,"$96,938,647","11,610","27,598","5,120"
DeadFellaz,"$96,096,121","13,339","27,356",
The n project,"$95,545,277","5,168","13,094","1,820"
3Landers,"$94,204,400","10,804","21,564",
Vox Collectibles,"$90,500,248","6,935","18,475","3,341"
Aurory,"$88,961,153","6,824","15,910","3,956"
ALIENFRENS,"$88,552,730","15,475","31,368",
Hashmasks,"$87,872,536","6,153","19,620","5,251"
Psychedelics Anonymous Genesis,"$84,045,227","14,304","23,498",
WebbLand,"$80,049,301","10,955","22,628",
Impostors Genesis,"$79,631,997","10,061","16,183",
Capsule,"$79,258,874","9,449","27,827",
CoolmansUniverse,"$78,925,506","12,920","28,360",
goblintown,"$78,109,780","10,318","29,291",
Sneaky Vampire Syndicate,"$74,421,638","6,989","16,035","4,631"
Sup Ducks,"$74,279,433","7,996","19,286","3,626"
Mooncats,"$73,098,578","9,025","24,717","6,532"
VeeFriends Series 2,"$72,979,660","11,937","22,070",
Adam Bomb Squad,"$72,250,626","14,565","39,383",
V1 Cryptopunks Wrapped,"$72,050,968",872,"1,915",
SuperNormalbyZipcy,"$70,291,093","5,782","12,977",
Pixelmon,"$69,628,078","9,667","18,479",
888 Inner Circle,"$69,543,192","6,397","14,718",1
Hero,"$67,935,297","7,459","12,841",
Frontier Game,"$66,466,767","8,144","20,962",
Metroverse City Block,"$66,195,950","7,362","18,707",
CryptoSkulls,"$66,043,047","9,705","22,462",
MURI,"$65,908,494","17,179","30,841",
